CMDLINE C:\Python311\python.exe search.py
MEM 1.652344 1682945686.6814
MEM 14.406250 1682945686.7817
MEM 21.765625 1682945686.8821
MEM 26.105469 1682945686.9824
MEM 30.933594 1682945687.0829
MEM 37.105469 1682945687.1834
MEM 44.140625 1682945687.2839
MEM 50.519531 1682945687.3845
MEM 57.886719 1682945687.4848
MEM 64.101562 1682945687.5850
MEM 71.171875 1682945687.6853
MEM 75.812500 1682945687.7858
MEM 80.640625 1682945687.8866
MEM 80.640625 1682945687.9873
MEM 80.640625 1682945688.0881
MEM 80.640625 1682945688.1885
MEM 80.640625 1682945688.2891
MEM 80.640625 1682945688.3896
MEM 80.640625 1682945688.4900
MEM 80.640625 1682945688.5905
MEM 80.640625 1682945688.6911
MEM 80.640625 1682945688.7914
MEM 80.640625 1682945688.8919
MEM 80.640625 1682945688.9927
MEM 80.640625 1682945689.0931
MEM 80.640625 1682945689.1933
MEM 80.640625 1682945689.2935
MEM 80.640625 1682945689.3940
MEM 80.640625 1682945689.4946
MEM 80.640625 1682945689.5950
MEM 80.640625 1682945689.6955
MEM 80.640625 1682945689.7962
MEM 80.640625 1682945689.8967
MEM 80.640625 1682945689.9970
MEM 80.640625 1682945690.0976
MEM 80.640625 1682945690.1980
MEM 80.640625 1682945690.2987
MEM 80.640625 1682945690.3991
MEM 80.640625 1682945690.4995
MEM 80.640625 1682945690.6000
MEM 80.640625 1682945690.7005
MEM 80.640625 1682945690.8011
MEM 80.640625 1682945690.9014
MEM 80.640625 1682945691.0016
MEM 80.640625 1682945691.1021
MEM 80.640625 1682945691.2025
MEM 80.640625 1682945691.3028
MEM 80.640625 1682945691.4030
MEM 80.640625 1682945691.5035
MEM 80.640625 1682945691.6039
MEM 80.640625 1682945691.7044
MEM 80.640625 1682945691.8050
MEM 80.640625 1682945691.9058
MEM 80.640625 1682945692.0062
MEM 80.640625 1682945692.1066
MEM 80.640625 1682945692.2071
MEM 80.640625 1682945692.3077
MEM 80.640625 1682945692.4080
MEM 80.640625 1682945692.5086
MEM 80.640625 1682945692.6091
MEM 80.640625 1682945692.7096
MEM 80.640625 1682945692.8100
MEM 80.640625 1682945692.9105
MEM 80.640625 1682945693.0110
MEM 80.640625 1682945693.1116
MEM 80.640625 1682945693.2118
MEM 80.640625 1682945693.3120
MEM 80.640625 1682945693.4125
MEM 80.640625 1682945693.5128
MEM 80.640625 1682945693.6130
MEM 80.640625 1682945693.7137
MEM 80.640625 1682945693.8142
MEM 80.640625 1682945693.9145
MEM 80.640625 1682945694.0151
MEM 80.640625 1682945694.1155
MEM 80.640625 1682945694.2160
MEM 80.640625 1682945694.3165
MEM 80.640625 1682945694.4171
MEM 80.640625 1682945694.5177
MEM 80.640625 1682945694.6181
MEM 80.640625 1682945694.7188
MEM 80.640625 1682945694.8193
MEM 80.640625 1682945694.9196
MEM 80.640625 1682945695.0203
MEM 80.640625 1682945695.1206
MEM 80.640625 1682945695.2210
MEM 80.640625 1682945695.3212
MEM 80.640625 1682945695.4216
MEM 80.640625 1682945695.5222
MEM 80.640625 1682945695.6227
MEM 80.640625 1682945695.7230
MEM 80.640625 1682945695.8232
MEM 80.640625 1682945695.9235
MEM 80.640625 1682945696.0240
MEM 80.640625 1682945696.1247
MEM 80.640625 1682945696.2248
MEM 80.640625 1682945696.3250
MEM 80.640625 1682945696.4256
MEM 80.640625 1682945696.5262
MEM 80.640625 1682945696.6265
MEM 80.640625 1682945696.7270
MEM 80.640625 1682945696.8273
MEM 80.640625 1682945696.9275
MEM 80.640625 1682945697.0278
MEM 80.640625 1682945697.1282
MEM 80.640625 1682945697.2286
MEM 80.640625 1682945697.3290
MEM 80.640625 1682945697.4293
MEM 80.640625 1682945697.5295
MEM 80.640625 1682945697.6299
MEM 80.640625 1682945697.7305
MEM 80.640625 1682945697.8310
MEM 80.640625 1682945697.9316
MEM 80.640625 1682945698.0321
MEM 80.640625 1682945698.1325
MEM 80.640625 1682945698.2329
MEM 80.640625 1682945698.3340
MEM 80.640625 1682945698.4344
MEM 80.640625 1682945698.5350
MEM 80.640625 1682945698.6354
MEM 80.640625 1682945698.7361
MEM 80.640625 1682945698.8366
MEM 80.640625 1682945698.9370
MEM 80.640625 1682945699.0372
MEM 80.640625 1682945699.1423
MEM 80.640625 1682945699.2428
MEM 80.640625 1682945699.3430
MEM 80.640625 1682945699.4435
MEM 80.640625 1682945699.5441
MEM 80.640625 1682945699.6444
MEM 80.640625 1682945699.7448
MEM 80.640625 1682945699.8450
MEM 80.640625 1682945699.9456
MEM 80.640625 1682945700.0462
MEM 80.640625 1682945700.1465
MEM 80.640625 1682945700.2470
MEM 80.640625 1682945700.3476
MEM 80.640625 1682945700.4480
MEM 80.640625 1682945700.5483
MEM 80.640625 1682945700.6485
MEM 80.640625 1682945700.7488
MEM 80.640625 1682945700.8494
MEM 80.640625 1682945700.9496
MEM 80.640625 1682945701.0501
MEM 80.640625 1682945701.1505
MEM 80.640625 1682945701.2510
MEM 80.640625 1682945701.3516
MEM 80.640625 1682945701.4520
MEM 80.640625 1682945701.5522
MEM 80.640625 1682945701.6526
MEM 80.640625 1682945701.7532
MEM 80.640625 1682945701.8534
MEM 80.640625 1682945701.9540
MEM 80.640625 1682945702.0546
MEM 80.640625 1682945702.1552
MEM 80.640625 1682945702.2556
MEM 80.640625 1682945702.3561
MEM 80.640625 1682945702.4564
MEM 80.640625 1682945702.5566
MEM 80.640625 1682945702.6571
