CMDLINE C:\Python311\python.exe search.py
MEM 1.675781 1682950028.1255
MEM 16.023438 1682950028.2264
MEM 21.960938 1682950028.3269
MEM 25.832031 1682950028.4274
MEM 30.886719 1682950028.5276
MEM 37.289062 1682950028.6277
MEM 46.902344 1682950028.7282
MEM 56.738281 1682950028.8287
MEM 63.812500 1682950028.9294
MEM 71.250000 1682950029.0296
MEM 75.730469 1682950029.1299
MEM 80.179688 1682950029.2301
MEM 80.746094 1682950029.3305
MEM 80.746094 1682950029.4308
MEM 80.746094 1682950029.5314
MEM 80.746094 1682950029.6320
MEM 80.746094 1682950029.7322
MEM 80.746094 1682950029.8329
MEM 80.746094 1682950029.9332
MEM 80.746094 1682950030.0337
MEM 80.746094 1682950030.1343
MEM 80.746094 1682950030.2350
MEM 80.746094 1682950030.3356
MEM 80.746094 1682950030.4359
MEM 80.746094 1682950030.5364
MEM 80.746094 1682950030.6367
MEM 80.746094 1682950030.7371
MEM 80.746094 1682950030.8375
MEM 80.746094 1682950030.9377
MEM 80.746094 1682950031.0383
MEM 80.746094 1682950031.1390
MEM 80.746094 1682950031.2393
MEM 80.746094 1682950031.3396
MEM 80.746094 1682950031.4399
MEM 80.746094 1682950031.5405
MEM 80.746094 1682950031.6409
MEM 80.746094 1682950031.7412
MEM 80.746094 1682950031.8418
MEM 80.746094 1682950031.9424
MEM 80.746094 1682950032.0429
MEM 80.746094 1682950032.1435
MEM 80.746094 1682950032.2437
MEM 80.746094 1682950032.3440
MEM 80.746094 1682950032.4445
MEM 80.746094 1682950032.5451
MEM 80.746094 1682950032.6457
MEM 80.746094 1682950032.7463
MEM 80.746094 1682950032.8469
MEM 80.746094 1682950032.9471
MEM 80.746094 1682950033.0474
MEM 80.746094 1682950033.1479
MEM 80.746094 1682950033.2486
MEM 80.746094 1682950033.3493
MEM 80.746094 1682950033.4500
MEM 80.746094 1682950033.5513
MEM 80.746094 1682950033.6520
MEM 80.746094 1682950033.7525
MEM 80.746094 1682950033.8529
