CMDLINE C:\Python311\python.exe search.py
MEM 1.652344 1682946202.9879
MEM 12.597656 1682946203.0892
MEM 21.511719 1682946203.1894
MEM 26.054688 1682946203.2897
MEM 31.578125 1682946203.3901
MEM 36.011719 1682946203.4907
MEM 43.996094 1682946203.5911
MEM 50.828125 1682946203.6915
MEM 61.246094 1682946203.7920
MEM 68.195312 1682946203.8926
MEM 73.273438 1682946203.9930
MEM 76.851562 1682946204.0933
MEM 80.585938 1682946204.1939
MEM 80.585938 1682946204.2946
MEM 80.585938 1682946204.3951
MEM 80.585938 1682946204.4955
MEM 80.585938 1682946204.5958
MEM 80.585938 1682946204.6964
MEM 80.585938 1682946204.7969
MEM 80.585938 1682946204.8975
MEM 80.585938 1682946204.9980
MEM 80.585938 1682946205.0985
MEM 80.585938 1682946205.1988
MEM 80.585938 1682946205.2994
MEM 80.585938 1682946205.4002
MEM 80.585938 1682946205.5007
MEM 80.585938 1682946205.6012
MEM 80.585938 1682946205.7019
MEM 80.585938 1682946205.8023
MEM 80.585938 1682946205.9028
MEM 80.585938 1682946206.0034
MEM 80.585938 1682946206.1040
MEM 80.585938 1682946206.2045
MEM 80.585938 1682946206.3048
MEM 80.585938 1682946206.4054
MEM 80.585938 1682946206.5058
MEM 80.585938 1682946206.6063
MEM 80.585938 1682946206.7069
MEM 80.585938 1682946206.8073
MEM 80.585938 1682946206.9076
MEM 80.585938 1682946207.0082
MEM 80.585938 1682946207.1084
MEM 80.585938 1682946207.2089
MEM 80.585938 1682946207.3091
MEM 80.585938 1682946207.4094
MEM 80.585938 1682946207.5097
MEM 80.585938 1682946207.6104
MEM 80.585938 1682946207.7108
MEM 80.585938 1682946207.8114
MEM 80.585938 1682946207.9118
MEM 80.585938 1682946208.0125
MEM 80.585938 1682946208.1130
MEM 80.585938 1682946208.2139
MEM 80.585938 1682946208.3144
MEM 80.585938 1682946208.4153
MEM 80.585938 1682946208.5157
MEM 80.585938 1682946208.6162
MEM 80.585938 1682946208.7169
MEM 80.585938 1682946208.8175
MEM 80.585938 1682946208.9185
MEM 80.585938 1682946209.0187
MEM 80.585938 1682946209.1190
MEM 80.585938 1682946209.2195
MEM 80.585938 1682946209.3198
MEM 80.585938 1682946209.4203
MEM 80.585938 1682946209.5208
MEM 80.585938 1682946209.6216
MEM 80.585938 1682946209.7219
MEM 80.585938 1682946209.8224
MEM 80.585938 1682946209.9230
MEM 80.585938 1682946210.0232
MEM 80.585938 1682946210.1236
MEM 80.585938 1682946210.2244
MEM 80.585938 1682946210.3250
MEM 80.585938 1682946210.4254
MEM 80.585938 1682946210.5258
MEM 80.585938 1682946210.6264
MEM 80.585938 1682946210.7269
MEM 80.585938 1682946210.8276
MEM 80.585938 1682946210.9293
MEM 80.585938 1682946211.0304
MEM 80.585938 1682946211.1309
MEM 80.585938 1682946211.2311
