CMDLINE C:\Python311\python.exe search.py
MEM 1.667969 1682945088.1654
MEM 15.843750 1682945088.2664
MEM 22.691406 1682945088.3669
MEM 27.847656 1682945088.4670
MEM 32.800781 1682945088.5673
MEM 40.457031 1682945088.6678
MEM 47.917969 1682945088.7684
MEM 57.625000 1682945088.8687
MEM 64.605469 1682945088.9689
MEM 71.562500 1682945089.0692
MEM 76.640625 1682945089.1695
MEM 80.011719 1682945089.2702
MEM 80.011719 1682945089.3705
MEM 80.011719 1682945089.4711
MEM 80.011719 1682945089.5716
MEM 80.011719 1682945089.6719
MEM 80.011719 1682945089.7722
MEM 80.011719 1682945089.8726
MEM 80.011719 1682945089.9728
MEM 80.011719 1682945090.0732
MEM 80.011719 1682945090.1737
MEM 80.011719 1682945090.2741
MEM 80.011719 1682945090.3746
MEM 80.011719 1682945090.4752
MEM 80.011719 1682945090.5754
MEM 80.011719 1682945090.6757
MEM 80.011719 1682945090.7762
MEM 80.011719 1682945090.8764
MEM 80.011719 1682945090.9767
MEM 80.011719 1682945091.0770
MEM 80.011719 1682945091.1773
MEM 80.011719 1682945091.2776
MEM 80.011719 1682945091.3781
MEM 80.011719 1682945091.4787
MEM 80.011719 1682945091.5791
MEM 80.011719 1682945091.6794
MEM 80.011719 1682945091.7796
MEM 80.011719 1682945091.8798
MEM 80.011719 1682945091.9802
MEM 80.011719 1682945092.0807
MEM 80.011719 1682945092.1812
MEM 80.011719 1682945092.2816
MEM 80.011719 1682945092.3822
MEM 80.011719 1682945092.4826
MEM 80.011719 1682945092.5830
MEM 80.011719 1682945092.6832
MEM 80.011719 1682945092.7838
MEM 80.011719 1682945092.8844
MEM 80.011719 1682945092.9847
MEM 80.011719 1682945093.0852
MEM 80.011719 1682945093.1854
MEM 80.011719 1682945093.2857
MEM 80.011719 1682945093.3862
MEM 80.011719 1682945093.4866
MEM 80.011719 1682945093.5871
MEM 80.011719 1682945093.6877
MEM 80.011719 1682945093.7881
MEM 80.011719 1682945093.8885
MEM 80.011719 1682945093.9887
MEM 80.011719 1682945094.0891
MEM 80.011719 1682945094.1897
MEM 80.011719 1682945094.2902
MEM 80.011719 1682945094.3906
MEM 80.011719 1682945094.4911
MEM 80.011719 1682945094.5916
MEM 80.011719 1682945094.6921
MEM 80.011719 1682945094.7927
MEM 80.011719 1682945094.8931
MEM 80.011719 1682945094.9934
MEM 80.011719 1682945095.0936
MEM 80.011719 1682945095.1941
MEM 80.011719 1682945095.2946
MEM 80.011719 1682945095.3950
MEM 80.011719 1682945095.4952
MEM 80.011719 1682945095.5955
MEM 80.011719 1682945095.7042
MEM 80.011719 1682945095.8048
MEM 80.011719 1682945095.9054
MEM 80.011719 1682945096.0057
MEM 80.011719 1682945096.1059
MEM 80.011719 1682945096.2063
MEM 80.011719 1682945096.3066
MEM 80.011719 1682945096.4071
MEM 80.011719 1682945096.5077
MEM 80.011719 1682945096.6083
MEM 80.011719 1682945096.7089
MEM 80.011719 1682945096.8091
MEM 80.011719 1682945096.9096
MEM 80.011719 1682945097.0101
MEM 80.011719 1682945097.1106
MEM 80.011719 1682945097.2111
MEM 80.011719 1682945097.3113
MEM 80.011719 1682945097.4116
MEM 80.011719 1682945097.5122
MEM 80.011719 1682945097.6125
MEM 80.011719 1682945097.7130
MEM 80.011719 1682945097.8136
MEM 80.011719 1682945097.9140
MEM 80.011719 1682945098.0148
MEM 80.011719 1682945098.1151
MEM 80.011719 1682945098.2156
MEM 80.011719 1682945098.3162
MEM 80.011719 1682945098.4166
MEM 80.011719 1682945098.5173
MEM 80.011719 1682945098.6178
MEM 80.011719 1682945098.7181
MEM 80.011719 1682945098.8186
MEM 80.011719 1682945098.9191
MEM 80.011719 1682945099.0196
MEM 80.011719 1682945099.1201
MEM 80.011719 1682945099.2206
MEM 80.011719 1682945099.3211
MEM 80.011719 1682945099.4217
MEM 80.011719 1682945099.5220
MEM 80.011719 1682945099.6223
MEM 80.011719 1682945099.7225
MEM 80.011719 1682945099.8227
MEM 80.011719 1682945099.9231
MEM 80.011719 1682945100.0237
MEM 80.011719 1682945100.1242
MEM 80.011719 1682945100.2246
MEM 80.011719 1682945100.3250
MEM 80.011719 1682945100.4253
MEM 80.011719 1682945100.5259
MEM 80.011719 1682945100.6261
MEM 80.011719 1682945100.7266
MEM 80.011719 1682945100.8267
MEM 80.011719 1682945100.9271
MEM 80.011719 1682945101.0277
MEM 80.011719 1682945101.1282
MEM 80.011719 1682945101.2288
MEM 80.011719 1682945101.3292
MEM 80.011719 1682945101.4296
MEM 80.011719 1682945101.5302
MEM 80.011719 1682945101.6306
MEM 80.011719 1682945101.7311
MEM 80.011719 1682945101.8316
