CMDLINE C:\Python311\python.exe search.py
MEM 1.671875 1682949806.3355
MEM 15.917969 1682949806.4369
MEM 23.121094 1682949806.5374
MEM 28.156250 1682949806.6379
MEM 32.210938 1682949806.7381
MEM 37.335938 1682949806.8385
MEM 46.808594 1682949806.9390
MEM 56.453125 1682949807.0396
MEM 63.496094 1682949807.1400
MEM 71.230469 1682949807.2403
MEM 76.507812 1682949807.3406
MEM 80.664062 1682949807.4411
MEM 80.664062 1682949807.5414
MEM 80.664062 1682949807.6421
MEM 80.664062 1682949807.7423
MEM 80.664062 1682949807.8429
MEM 80.664062 1682949807.9437
MEM 80.664062 1682949808.0440
MEM 80.664062 1682949808.1442
MEM 80.664062 1682949808.2444
MEM 80.664062 1682949808.3450
MEM 80.664062 1682949808.4454
MEM 80.664062 1682949808.5460
MEM 80.664062 1682949808.6465
MEM 80.664062 1682949808.7471
MEM 80.664062 1682949808.8477
MEM 80.664062 1682949808.9480
MEM 80.664062 1682949809.0484
MEM 80.664062 1682949809.1489
MEM 80.664062 1682949809.2494
MEM 80.664062 1682949809.3498
MEM 80.664062 1682949809.4502
MEM 80.664062 1682949809.5508
MEM 80.664062 1682949809.6510
MEM 80.664062 1682949809.7523
MEM 80.664062 1682949809.8526
MEM 80.664062 1682949809.9528
MEM 80.664062 1682949810.0531
MEM 80.664062 1682949810.1536
MEM 80.664062 1682949810.2540
MEM 80.664062 1682949810.3544
MEM 80.664062 1682949810.4550
MEM 80.664062 1682949810.5552
MEM 80.664062 1682949810.6557
MEM 80.664062 1682949810.7564
MEM 80.664062 1682949810.8568
MEM 80.664062 1682949810.9570
MEM 80.664062 1682949811.0577
MEM 80.664062 1682949811.1582
MEM 80.664062 1682949811.2585
MEM 80.664062 1682949811.3592
MEM 80.664062 1682949811.4598
MEM 80.664062 1682949811.5603
MEM 80.664062 1682949811.6608
MEM 80.664062 1682949811.7611
MEM 80.664062 1682949811.8617
MEM 80.664062 1682949811.9622
MEM 80.664062 1682949812.0628
MEM 80.664062 1682949812.1634
MEM 80.664062 1682949812.2637
MEM 80.664062 1682949812.3644
MEM 80.664062 1682949812.4649
MEM 80.664062 1682949812.5655
MEM 80.664062 1682949812.6658
MEM 80.664062 1682949812.7664
MEM 80.664062 1682949812.8667
MEM 80.664062 1682949812.9669
MEM 80.664062 1682949813.0674
MEM 80.664062 1682949813.1681
MEM 80.664062 1682949813.2687
MEM 80.664062 1682949813.3688
MEM 80.664062 1682949813.4692
MEM 80.664062 1682949813.5696
MEM 80.664062 1682949813.6703
MEM 80.664062 1682949813.7707
MEM 80.664062 1682949813.8709
MEM 80.664062 1682949813.9710
MEM 80.664062 1682949814.0713
MEM 80.664062 1682949814.1716
MEM 80.664062 1682949814.2718
MEM 80.664062 1682949814.3724
MEM 80.664062 1682949814.4728
MEM 80.664062 1682949814.5734
MEM 80.664062 1682949814.6739
MEM 80.664062 1682949814.7741
MEM 80.664062 1682949814.8747
MEM 80.664062 1682949814.9750
MEM 80.664062 1682949815.0757
MEM 80.664062 1682949815.1761
MEM 80.664062 1682949815.2767
MEM 80.664062 1682949815.3772
MEM 80.664062 1682949815.4781
MEM 80.664062 1682949815.5784
MEM 80.664062 1682949815.6789
MEM 80.664062 1682949815.7795
MEM 80.664062 1682949815.8802
MEM 80.664062 1682949815.9808
MEM 80.664062 1682949816.0812
MEM 80.664062 1682949816.1818
MEM 80.664062 1682949816.2821
MEM 80.664062 1682949816.3825
MEM 80.664062 1682949816.4835
MEM 80.664062 1682949816.5841
MEM 80.664062 1682949816.6845
MEM 80.664062 1682949816.7850
MEM 80.664062 1682949816.8857
MEM 80.664062 1682949816.9859
MEM 80.664062 1682949817.0862
MEM 80.664062 1682949817.1864
MEM 80.664062 1682949817.2869
MEM 80.664062 1682949817.3873
MEM 80.664062 1682949817.4877
MEM 80.664062 1682949817.5881
MEM 80.664062 1682949817.6887
MEM 80.664062 1682949817.7889
MEM 80.664062 1682949817.8893
MEM 80.664062 1682949817.9896
MEM 80.664062 1682949818.0902
MEM 80.664062 1682949818.1908
MEM 80.664062 1682949818.2915
