CMDLINE C:\Python311\python.exe search.py
MEM 1.671875 1682944488.2036
MEM 15.679688 1682944488.3047
MEM 22.890625 1682944488.4051
MEM 27.992188 1682944488.5052
MEM 32.691406 1682944488.6057
MEM 39.191406 1682944488.7061
MEM 47.093750 1682944488.8066
MEM 55.894531 1682944488.9070
MEM 62.148438 1682944489.0074
MEM 69.699219 1682944489.1078
MEM 74.714844 1682944489.2084
MEM 78.628906 1682944489.3086
MEM 79.828125 1682944489.4090
MEM 79.828125 1682944489.5093
MEM 79.828125 1682944489.6096
MEM 79.828125 1682944489.7102
MEM 79.828125 1682944489.8108
MEM 79.828125 1682944489.9113
MEM 79.828125 1682944490.0119
MEM 79.828125 1682944490.1123
MEM 79.828125 1682944490.2126
MEM 79.828125 1682944490.3132
MEM 79.828125 1682944490.4137
MEM 79.828125 1682944490.5142
MEM 79.828125 1682944490.6144
MEM 79.828125 1682944490.7148
MEM 79.828125 1682944490.8152
MEM 79.828125 1682944490.9157
MEM 79.828125 1682944491.0162
MEM 79.828125 1682944491.1166
MEM 79.828125 1682944491.2168
MEM 79.828125 1682944491.3173
MEM 79.828125 1682944491.4178
MEM 79.828125 1682944491.5183
MEM 79.828125 1682944491.6187
MEM 79.828125 1682944491.7189
MEM 79.828125 1682944491.8192
MEM 79.828125 1682944491.9197
MEM 79.828125 1682944492.0202
MEM 79.828125 1682944492.1206
MEM 79.828125 1682944492.2211
MEM 79.828125 1682944492.3214
MEM 79.828125 1682944492.4236
MEM 79.828125 1682944492.5241
MEM 79.828125 1682944492.6243
MEM 79.828125 1682944492.7247
MEM 79.828125 1682944492.8250
MEM 79.828125 1682944492.9257
MEM 79.828125 1682944493.0263
MEM 79.828125 1682944493.1269
MEM 79.828125 1682944493.2274
MEM 79.828125 1682944493.3280
MEM 79.828125 1682944493.4287
MEM 79.828125 1682944493.5292
MEM 79.828125 1682944493.6297
MEM 79.828125 1682944493.7302
MEM 79.828125 1682944493.8307
MEM 79.828125 1682944493.9309
MEM 79.828125 1682944494.0313
MEM 79.828125 1682944494.1315
MEM 79.828125 1682944494.2322
MEM 79.828125 1682944494.3327
MEM 79.828125 1682944494.4332
MEM 79.828125 1682944494.5339
MEM 79.828125 1682944494.6342
MEM 79.828125 1682944494.7349
MEM 79.828125 1682944494.8354
MEM 79.828125 1682944494.9358
MEM 79.828125 1682944495.0363
MEM 79.828125 1682944495.1368
MEM 79.828125 1682944495.2374
MEM 79.828125 1682944495.3377
MEM 79.828125 1682944495.4383
MEM 79.828125 1682944495.5387
MEM 79.828125 1682944495.6390
MEM 79.828125 1682944495.7395
MEM 79.828125 1682944495.8402
MEM 79.828125 1682944495.9408
MEM 79.828125 1682944496.0412
MEM 79.828125 1682944496.1419
MEM 79.828125 1682944496.2422
MEM 79.828125 1682944496.3427
MEM 79.828125 1682944496.4428
MEM 79.828125 1682944496.5430
MEM 79.828125 1682944496.6434
MEM 79.828125 1682944496.7439
MEM 79.828125 1682944496.8442
MEM 79.828125 1682944496.9447
MEM 79.828125 1682944497.0449
MEM 79.828125 1682944497.1454
MEM 79.828125 1682944497.2460
MEM 79.828125 1682944497.3463
MEM 79.828125 1682944497.4467
MEM 79.828125 1682944497.5471
MEM 79.828125 1682944497.6474
MEM 79.828125 1682944497.7476
MEM 79.828125 1682944497.8481
MEM 79.828125 1682944497.9486
MEM 79.828125 1682944498.0491
MEM 79.828125 1682944498.1498
MEM 79.828125 1682944498.2500
MEM 79.828125 1682944498.3502
MEM 79.828125 1682944498.4507
MEM 79.828125 1682944498.5511
MEM 79.828125 1682944498.6515
MEM 79.828125 1682944498.7528
MEM 79.828125 1682944498.8532
MEM 79.828125 1682944498.9537
MEM 79.828125 1682944499.0539
MEM 79.828125 1682944499.1543
MEM 79.828125 1682944499.2549
MEM 79.828125 1682944499.3553
MEM 79.828125 1682944499.4559
MEM 79.828125 1682944499.5561
MEM 79.828125 1682944499.6566
MEM 79.828125 1682944499.7568
MEM 79.828125 1682944499.8573
MEM 79.828125 1682944499.9578
MEM 79.828125 1682944500.0584
MEM 79.828125 1682944500.1589
MEM 79.828125 1682944500.2594
MEM 79.828125 1682944500.3596
MEM 79.828125 1682944500.4602
MEM 79.828125 1682944500.5609
MEM 79.828125 1682944500.6615
MEM 79.828125 1682944500.7623
MEM 79.828125 1682944500.8627
MEM 79.828125 1682944500.9632
MEM 79.828125 1682944501.0637
MEM 79.828125 1682944501.1642
MEM 79.828125 1682944501.2647
MEM 79.828125 1682944501.3652
MEM 79.828125 1682944501.4659
MEM 79.828125 1682944501.5665
MEM 79.828125 1682944501.6668
MEM 79.828125 1682944501.7670
MEM 79.828125 1682944501.8673
MEM 79.828125 1682944501.9678
MEM 79.828125 1682944502.0683
MEM 79.828125 1682944502.1689
MEM 79.828125 1682944502.2692
MEM 79.828125 1682944502.3698
MEM 79.828125 1682944502.4703
MEM 79.828125 1682944502.5707
MEM 79.828125 1682944502.6713
MEM 79.828125 1682944502.7720
MEM 79.828125 1682944502.8726
MEM 79.828125 1682944502.9733
MEM 79.828125 1682944503.0737
MEM 79.828125 1682944503.1743
MEM 79.828125 1682944503.2744
MEM 79.828125 1682944503.3747
MEM 79.828125 1682944503.4750
MEM 79.828125 1682944503.5756
MEM 79.828125 1682944503.6758
MEM 79.828125 1682944503.7762
MEM 79.828125 1682944503.8764
MEM 79.828125 1682944503.9767
MEM 79.828125 1682944504.0772
MEM 79.828125 1682944504.1777
MEM 79.828125 1682944504.2779
MEM 79.828125 1682944504.3787
MEM 79.828125 1682944504.4793
MEM 79.828125 1682944504.5797
MEM 79.828125 1682944504.6802
MEM 79.828125 1682944504.7808
MEM 79.828125 1682944504.8813
MEM 79.828125 1682944504.9819
MEM 79.828125 1682944505.0823
MEM 79.828125 1682944505.1827
