CMDLINE C:\Python311\python.exe search.py
MEM 1.644531 1682945561.7064
MEM 14.148438 1682945561.8070
MEM 21.773438 1682945561.9072
MEM 27.187500 1682945562.0077
MEM 31.464844 1682945562.1259
MEM 36.332031 1682945562.2271
MEM 45.097656 1682945562.3274
MEM 55.039062 1682945562.4276
MEM 62.085938 1682945562.5282
MEM 68.929688 1682945562.6286
MEM 74.480469 1682945562.7291
MEM 76.851562 1682945562.8301
MEM 80.472656 1682945562.9312
MEM 80.550781 1682945563.0315
MEM 80.550781 1682945563.1320
MEM 80.550781 1682945563.2326
MEM 80.550781 1682945563.3330
MEM 80.550781 1682945563.4334
MEM 80.550781 1682945563.5344
MEM 80.550781 1682945563.6348
MEM 80.550781 1682945563.7349
MEM 80.550781 1682945563.8355
MEM 80.550781 1682945563.9360
MEM 80.550781 1682945564.0364
MEM 80.550781 1682945564.1368
MEM 80.550781 1682945564.2370
MEM 80.550781 1682945564.3374
MEM 80.550781 1682945564.4380
MEM 80.550781 1682945564.5384
MEM 80.550781 1682945564.6391
MEM 80.550781 1682945564.7396
MEM 80.550781 1682945564.8401
MEM 80.550781 1682945564.9404
MEM 80.550781 1682945565.0409
MEM 80.550781 1682945565.1415
MEM 80.550781 1682945565.2420
MEM 80.550781 1682945565.3423
MEM 80.550781 1682945565.4426
MEM 80.550781 1682945565.5429
MEM 80.550781 1682945565.6433
MEM 80.550781 1682945565.7439
MEM 80.550781 1682945565.8444
MEM 80.550781 1682945565.9450
MEM 80.550781 1682945566.0454
MEM 80.550781 1682945566.1460
MEM 80.550781 1682945566.2467
MEM 80.550781 1682945566.3470
MEM 80.550781 1682945566.4473
MEM 80.550781 1682945566.5475
MEM 80.550781 1682945566.6481
MEM 80.550781 1682945566.7485
MEM 80.550781 1682945566.8489
MEM 80.550781 1682945566.9497
MEM 80.550781 1682945567.0499
MEM 80.550781 1682945567.1504
MEM 80.550781 1682945567.2510
MEM 80.550781 1682945567.3515
MEM 80.550781 1682945567.4519
MEM 80.550781 1682945567.5522
MEM 80.550781 1682945567.6525
MEM 80.550781 1682945567.7530
MEM 80.550781 1682945567.8534
MEM 80.550781 1682945567.9535
MEM 80.550781 1682945568.0544
MEM 80.550781 1682945568.1550
MEM 80.550781 1682945568.2555
MEM 80.550781 1682945568.3559
MEM 80.550781 1682945568.4564
MEM 80.550781 1682945568.5569
MEM 80.550781 1682945568.6575
MEM 80.550781 1682945568.7581
MEM 80.550781 1682945568.8583
MEM 80.550781 1682945568.9589
MEM 80.550781 1682945569.0593
MEM 80.550781 1682945569.1600
MEM 80.550781 1682945569.2602
MEM 80.550781 1682945569.3604
MEM 80.550781 1682945569.4609
MEM 80.550781 1682945569.5613
MEM 80.550781 1682945569.6616
MEM 80.550781 1682945569.7621
MEM 80.550781 1682945569.8626
MEM 80.550781 1682945569.9628
MEM 80.550781 1682945570.0634
MEM 80.550781 1682945570.1639
MEM 80.550781 1682945570.2644
MEM 80.550781 1682945570.3648
MEM 80.550781 1682945570.4654
MEM 80.550781 1682945570.5660
MEM 80.550781 1682945570.6664
MEM 80.550781 1682945570.7669
MEM 80.550781 1682945570.8671
MEM 80.550781 1682945570.9674
MEM 80.550781 1682945571.0680
MEM 80.550781 1682945571.1686
MEM 80.550781 1682945571.2689
MEM 80.550781 1682945571.3694
MEM 80.550781 1682945571.4700
MEM 80.550781 1682945571.5706
MEM 80.550781 1682945571.6712
MEM 80.550781 1682945571.7716
MEM 80.550781 1682945571.8719
MEM 80.550781 1682945571.9724
MEM 80.550781 1682945572.0730
MEM 80.550781 1682945572.1736
MEM 80.550781 1682945572.2741
MEM 80.550781 1682945572.3744
MEM 80.550781 1682945572.4750
MEM 80.550781 1682945572.5755
MEM 80.550781 1682945572.6761
MEM 80.550781 1682945572.7764
MEM 80.550781 1682945572.8770
MEM 80.550781 1682945572.9774
MEM 80.550781 1682945573.0777
MEM 80.550781 1682945573.1779
MEM 80.550781 1682945573.2786
MEM 80.550781 1682945573.3789
MEM 80.550781 1682945573.4794
MEM 80.550781 1682945573.5800
MEM 80.550781 1682945573.6804
MEM 80.550781 1682945573.7809
MEM 80.550781 1682945573.8815
MEM 80.550781 1682945573.9820
MEM 80.550781 1682945574.0824
MEM 80.550781 1682945574.1825
MEM 80.550781 1682945574.2830
MEM 80.550781 1682945574.3834
MEM 80.550781 1682945574.4839
MEM 80.550781 1682945574.5844
MEM 80.550781 1682945574.6847
MEM 80.550781 1682945574.7850
MEM 80.550781 1682945574.8857
MEM 80.550781 1682945574.9866
MEM 80.550781 1682945575.0872
MEM 80.550781 1682945575.1876
MEM 80.550781 1682945575.2881
MEM 80.550781 1682945575.3884
MEM 80.550781 1682945575.4889
MEM 80.550781 1682945575.5893
MEM 80.550781 1682945575.6896
MEM 80.550781 1682945575.7901
MEM 80.550781 1682945575.8905
MEM 80.550781 1682945575.9910
MEM 80.550781 1682945576.0915
MEM 80.550781 1682945576.1921
MEM 80.550781 1682945576.2923
MEM 80.550781 1682945576.3925
MEM 80.550781 1682945576.4929
MEM 80.550781 1682945576.5935
MEM 80.550781 1682945576.6940
MEM 80.550781 1682945576.7945
MEM 80.550781 1682945576.8950
MEM 80.550781 1682945576.9956
MEM 80.550781 1682945577.0959
MEM 80.550781 1682945577.1964
MEM 80.550781 1682945577.2969
MEM 80.550781 1682945577.3974
MEM 80.550781 1682945577.4980
MEM 80.550781 1682945577.5985
MEM 80.550781 1682945577.6987
MEM 80.550781 1682945577.7992
MEM 80.550781 1682945577.8998
MEM 80.550781 1682945578.0005
MEM 80.550781 1682945578.1009
MEM 80.550781 1682945578.2015
MEM 80.550781 1682945578.3020
MEM 80.550781 1682945578.4025
MEM 80.550781 1682945578.5029
MEM 80.550781 1682945578.6030
MEM 80.550781 1682945578.7035
MEM 80.550781 1682945578.8040
MEM 80.550781 1682945578.9044
MEM 80.550781 1682945579.0050
MEM 80.550781 1682945579.1055
MEM 80.550781 1682945579.2060
MEM 80.550781 1682945579.3065
MEM 80.550781 1682945579.4070
MEM 80.550781 1682945579.5076
MEM 80.550781 1682945579.6080
MEM 80.550781 1682945579.7085
MEM 80.550781 1682945579.8091
MEM 80.550781 1682945579.9095
MEM 80.550781 1682945580.0100
MEM 80.550781 1682945580.1104
MEM 80.550781 1682945580.2109
MEM 80.550781 1682945580.3114
MEM 80.550781 1682945580.4117
MEM 80.550781 1682945580.5124
MEM 80.550781 1682945580.6131
MEM 80.550781 1682945580.7136
MEM 80.550781 1682945580.8139
MEM 80.550781 1682945580.9141
MEM 80.550781 1682945581.0147
MEM 80.550781 1682945581.1150
MEM 80.550781 1682945581.2155
MEM 80.550781 1682945581.3160
MEM 80.550781 1682945581.4165
MEM 80.550781 1682945581.5170
MEM 80.550781 1682945581.6171
MEM 80.550781 1682945581.7176
MEM 80.550781 1682945581.8181
MEM 80.550781 1682945581.9185
MEM 80.550781 1682945582.0188
MEM 80.550781 1682945582.1194
MEM 80.550781 1682945582.2200
