CMDLINE C:\Python311\python.exe search.py
MEM 1.761719 1682945510.8432
MEM 15.167969 1682945510.9438
MEM 21.511719 1682945511.0441
MEM 25.253906 1682945511.1443
MEM 30.265625 1682945511.2449
MEM 35.464844 1682945511.3454
MEM 44.019531 1682945511.4460
MEM 51.050781 1682945511.5463
MEM 61.480469 1682945511.6466
MEM 64.296875 1682945511.7469
MEM 71.550781 1682945511.8474
MEM 76.105469 1682945511.9479
MEM 79.902344 1682945512.0481
MEM 79.902344 1682945512.1486
MEM 79.902344 1682945512.2488
MEM 79.902344 1682945512.3492
