CMDLINE C:\Python311\python.exe search.py
MEM 1.683594 1682950915.8866
MEM 16.140625 1682950915.9876
MEM 23.210938 1682950916.0881
MEM 29.554688 1682950916.1885
MEM 34.972656 1682950916.2889
MEM 43.992188 1682950916.3894
MEM 50.906250 1682950916.4897
MEM 61.878906 1682950916.5902
MEM 68.882812 1682950916.6906
MEM 74.500000 1682950916.7910
MEM 78.921875 1682950916.8914
MEM 80.292969 1682950916.9919
MEM 80.292969 1682950917.0922
MEM 80.292969 1682950917.1927
MEM 80.292969 1682950917.2929
MEM 80.292969 1682950917.3932
MEM 80.292969 1682950917.4935
MEM 80.292969 1682950917.5940
MEM 80.292969 1682950917.6946
MEM 80.292969 1682950917.7951
MEM 80.292969 1682950917.8955
MEM 80.292969 1682950917.9957
MEM 80.292969 1682950918.0964
MEM 80.292969 1682950918.1970
MEM 80.292969 1682950918.2977
MEM 80.292969 1682950918.3982
MEM 80.292969 1682950918.4989
MEM 80.292969 1682950918.5995
MEM 80.292969 1682950918.6997
MEM 80.292969 1682950918.8001
MEM 80.292969 1682950918.9004
MEM 80.292969 1682950919.0008
MEM 80.292969 1682950919.1014
MEM 80.292969 1682950919.2020
MEM 80.292969 1682950919.3025
MEM 80.292969 1682950919.4030
MEM 80.292969 1682950919.5032
MEM 80.292969 1682950919.6037
MEM 80.292969 1682950919.7046
MEM 80.292969 1682950919.8051
MEM 80.292969 1682950919.9054
MEM 80.292969 1682950920.0056
MEM 80.292969 1682950920.1067
MEM 80.292969 1682950920.2074
MEM 80.292969 1682950920.3077
MEM 80.292969 1682950920.4084
MEM 80.292969 1682950920.5087
MEM 80.292969 1682950920.6093
MEM 80.292969 1682950920.7100
MEM 80.292969 1682950920.8106
MEM 80.292969 1682950920.9112
MEM 80.292969 1682950921.0113
MEM 80.292969 1682950921.1120
MEM 80.292969 1682950921.2122
MEM 80.292969 1682950921.3124
MEM 80.292969 1682950921.4126
MEM 80.292969 1682950921.5132
MEM 80.292969 1682950921.6138
MEM 80.292969 1682950921.7144
MEM 80.292969 1682950921.8150
MEM 80.292969 1682950921.9154
MEM 80.292969 1682950922.0157
MEM 80.292969 1682950922.1162
MEM 80.292969 1682950922.2168
MEM 80.292969 1682950922.3172
MEM 80.292969 1682950922.4178
MEM 80.292969 1682950922.5184
MEM 80.292969 1682950922.6189
MEM 80.292969 1682950922.7192
