CMDLINE C:\Python311\python.exe search.py
MEM 1.667969 1682946391.4929
MEM 12.214844 1682946391.5938
MEM 20.296875 1682946391.6940
MEM 24.707031 1682946391.7947
MEM 29.878906 1682946391.8951
MEM 33.750000 1682946391.9957
MEM 41.523438 1682946392.0958
MEM 49.531250 1682946392.1961
MEM 58.578125 1682946392.2963
MEM 66.968750 1682946392.3968
MEM 72.660156 1682946392.4971
MEM 75.750000 1682946392.5975
MEM 78.914062 1682946392.6981
MEM 80.644531 1682946392.7985
MEM 80.644531 1682946392.8990
MEM 80.644531 1682946392.9995
MEM 80.644531 1682946393.1000
MEM 80.644531 1682946393.2004
MEM 80.644531 1682946393.3006
MEM 80.644531 1682946393.4014
MEM 80.644531 1682946393.5016
MEM 80.644531 1682946393.6021
MEM 80.644531 1682946393.7024
MEM 80.644531 1682946393.8026
MEM 80.644531 1682946393.9029
MEM 80.644531 1682946394.0036
MEM 80.644531 1682946394.1039
MEM 80.644531 1682946394.2045
MEM 80.644531 1682946394.3050
MEM 80.644531 1682946394.4056
MEM 80.644531 1682946394.5060
MEM 80.644531 1682946394.6064
MEM 80.644531 1682946394.7066
MEM 80.644531 1682946394.8070
MEM 80.644531 1682946394.9076
MEM 80.644531 1682946395.0081
MEM 80.644531 1682946395.1084
MEM 80.644531 1682946395.2090
MEM 80.644531 1682946395.3095
MEM 80.644531 1682946395.4096
MEM 80.644531 1682946395.5099
MEM 80.644531 1682946395.6104
MEM 80.644531 1682946395.7109
MEM 80.644531 1682946395.8111
MEM 80.644531 1682946395.9116
MEM 80.644531 1682946396.0119
MEM 80.644531 1682946396.1124
MEM 80.644531 1682946396.2128
MEM 80.644531 1682946396.3130
MEM 80.644531 1682946396.4137
MEM 80.644531 1682946396.5146
MEM 80.644531 1682946396.6150
MEM 80.644531 1682946396.7158
MEM 80.644531 1682946396.8165
MEM 80.644531 1682946396.9169
MEM 80.644531 1682946397.0172
MEM 80.644531 1682946397.1175
MEM 80.644531 1682946397.2181
MEM 80.644531 1682946397.3186
MEM 80.644531 1682946397.4193
MEM 80.644531 1682946397.5197
MEM 80.644531 1682946397.6203
MEM 80.644531 1682946397.7209
MEM 80.644531 1682946397.8216
MEM 80.644531 1682946397.9227
MEM 80.644531 1682946398.0233
MEM 80.644531 1682946398.1240
MEM 80.644531 1682946398.2249
MEM 80.644531 1682946398.3254
MEM 80.644531 1682946398.4259
MEM 80.644531 1682946398.5261
MEM 80.644531 1682946398.6264
MEM 80.644531 1682946398.7272
MEM 80.644531 1682946398.8277
MEM 80.644531 1682946398.9280
MEM 80.644531 1682946399.0286
MEM 80.644531 1682946399.1290
MEM 80.644531 1682946399.2293
MEM 80.644531 1682946399.3296
MEM 80.644531 1682946399.4301
MEM 80.644531 1682946399.5304
MEM 80.644531 1682946399.6309
MEM 80.644531 1682946399.7315
MEM 80.644531 1682946399.8320
MEM 80.644531 1682946399.9325
MEM 80.644531 1682946400.0331
MEM 80.644531 1682946400.1335
MEM 80.644531 1682946400.2340
MEM 80.644531 1682946400.3345
MEM 80.644531 1682946400.4347
MEM 80.644531 1682946400.5350
MEM 80.644531 1682946400.6355
MEM 80.644531 1682946400.7361
MEM 80.644531 1682946400.8365
MEM 80.644531 1682946400.9371
MEM 80.644531 1682946401.0376
MEM 80.644531 1682946401.1383
MEM 80.644531 1682946401.2385
MEM 80.644531 1682946401.3390
MEM 80.644531 1682946401.4396
MEM 80.644531 1682946401.5399
MEM 80.644531 1682946401.6405
MEM 80.644531 1682946401.7409
MEM 80.644531 1682946401.8414
MEM 80.644531 1682946401.9421
MEM 80.644531 1682946402.0426
MEM 80.644531 1682946402.1430
MEM 80.644531 1682946402.2434
MEM 80.644531 1682946402.3438
MEM 80.644531 1682946402.4441
MEM 80.644531 1682946402.5445
MEM 80.644531 1682946402.6452
MEM 80.644531 1682946402.7456
MEM 80.644531 1682946402.8473
MEM 80.644531 1682946402.9480
MEM 80.644531 1682946403.0485
MEM 80.644531 1682946403.1491
MEM 80.644531 1682946403.2495
MEM 80.644531 1682946403.3498
MEM 80.644531 1682946403.4504
MEM 80.644531 1682946403.5509
MEM 80.644531 1682946403.6513
MEM 80.644531 1682946403.7516
MEM 80.644531 1682946403.8519
MEM 80.644531 1682946403.9523
MEM 80.644531 1682946404.0532
MEM 80.644531 1682946404.1540
MEM 80.644531 1682946404.2547
MEM 80.644531 1682946404.3551
MEM 80.644531 1682946404.4555
MEM 80.644531 1682946404.5560
MEM 80.644531 1682946404.6563
MEM 80.644531 1682946404.7570
MEM 80.644531 1682946404.8575
MEM 80.644531 1682946404.9581
MEM 80.644531 1682946405.0583
MEM 80.644531 1682946405.1585
MEM 80.644531 1682946405.2590
MEM 80.644531 1682946405.3591
