CMDLINE C:\Python311\python.exe search.py
MEM 1.656250 1682950609.3515
MEM 14.609375 1682950609.4521
MEM 22.207031 1682950609.5525
MEM 26.750000 1682950609.6527
MEM 30.765625 1682950609.7532
MEM 33.664062 1682950609.8534
MEM 41.183594 1682950609.9540
MEM 48.574219 1682950610.0544
MEM 57.476562 1682950610.1548
MEM 64.292969 1682950610.2549
MEM 71.515625 1682950610.3553
MEM 76.281250 1682950610.4556
MEM 80.015625 1682950610.5560
MEM 80.015625 1682950610.6562
MEM 80.015625 1682950610.7567
MEM 80.015625 1682950610.8571
MEM 80.015625 1682950610.9573
MEM 80.015625 1682950611.0579
MEM 80.015625 1682950611.1581
MEM 80.015625 1682950611.2583
MEM 80.015625 1682950611.3589
MEM 80.015625 1682950611.4595
MEM 80.015625 1682950611.5598
MEM 80.015625 1682950611.6604
MEM 80.015625 1682950611.7606
MEM 80.015625 1682950611.8609
MEM 80.015625 1682950611.9751
MEM 80.015625 1682950612.0759
MEM 80.015625 1682950612.1763
MEM 80.015625 1682950612.2765
MEM 80.015625 1682950612.3769
MEM 80.015625 1682950612.4775
MEM 80.015625 1682950612.5778
MEM 80.015625 1682950612.6784
MEM 80.015625 1682950612.7789
MEM 80.015625 1682950612.8792
MEM 80.015625 1682950612.9797
MEM 80.015625 1682950613.0799
MEM 80.015625 1682950613.1805
MEM 80.015625 1682950613.2811
MEM 80.015625 1682950613.3813
MEM 80.015625 1682950613.4818
MEM 80.015625 1682950613.5820
MEM 80.015625 1682950613.6823
MEM 80.015625 1682950613.7829
MEM 80.015625 1682950613.8833
MEM 80.015625 1682950613.9839
MEM 80.015625 1682950614.0842
MEM 80.015625 1682950614.1844
MEM 80.015625 1682950614.2849
MEM 80.015625 1682950614.3855
MEM 80.015625 1682950614.4857
MEM 80.015625 1682950614.5860
MEM 80.015625 1682950614.6867
MEM 80.015625 1682950614.7873
MEM 80.015625 1682950614.8879
MEM 80.015625 1682950614.9885
MEM 80.015625 1682950615.0888
MEM 80.015625 1682950615.1891
MEM 80.015625 1682950615.2896
MEM 80.015625 1682950615.3899
MEM 80.015625 1682950615.4903
MEM 80.015625 1682950615.5908
MEM 80.015625 1682950615.6912
MEM 80.015625 1682950615.7920
MEM 80.015625 1682950615.8925
MEM 80.015625 1682950615.9931
MEM 80.015625 1682950616.0936
MEM 80.015625 1682950616.1943
MEM 80.015625 1682950616.2952
MEM 80.015625 1682950616.3957
MEM 80.015625 1682950616.4961
MEM 80.015625 1682950616.5965
MEM 80.015625 1682950616.6968
MEM 80.015625 1682950616.7974
MEM 80.015625 1682950616.8981
MEM 80.015625 1682950616.9988
MEM 80.015625 1682950617.0994
MEM 80.015625 1682950617.1996
MEM 80.015625 1682950617.2999
MEM 80.015625 1682950617.4002
MEM 80.015625 1682950617.5007
MEM 80.015625 1682950617.6013
MEM 80.015625 1682950617.7019
MEM 80.015625 1682950617.8025
MEM 80.015625 1682950617.9031
MEM 80.015625 1682950618.0038
MEM 80.015625 1682950618.1044
MEM 80.015625 1682950618.2050
MEM 80.015625 1682950618.3056
MEM 80.015625 1682950618.4062
MEM 80.015625 1682950618.5068
MEM 80.015625 1682950618.6074
MEM 80.015625 1682950618.7081
MEM 80.015625 1682950618.8086
MEM 80.015625 1682950618.9089
MEM 80.015625 1682950619.0093
MEM 80.015625 1682950619.1095
MEM 80.015625 1682950619.2098
MEM 80.015625 1682950619.3099
MEM 80.015625 1682950619.4101
MEM 80.015625 1682950619.5107
MEM 80.015625 1682950619.6111
MEM 80.015625 1682950619.7116
MEM 80.015625 1682950619.8122
MEM 80.015625 1682950619.9128
MEM 80.015625 1682950620.0130
MEM 80.015625 1682950620.1135
MEM 80.015625 1682950620.2142
MEM 80.015625 1682950620.3144
MEM 80.015625 1682950620.4147
MEM 80.015625 1682950620.5152
MEM 80.015625 1682950620.6156
MEM 80.015625 1682950620.7158
MEM 80.015625 1682950620.8161
MEM 80.015625 1682950620.9168
MEM 80.015625 1682950621.0171
MEM 80.015625 1682950621.1173
MEM 80.015625 1682950621.2180
MEM 80.015625 1682950621.3182
MEM 80.015625 1682950621.4188
MEM 80.015625 1682950621.5192
MEM 80.015625 1682950621.6197
MEM 80.015625 1682950621.7199
MEM 80.015625 1682950621.8205
MEM 80.015625 1682950621.9212
MEM 80.015625 1682950622.0215
MEM 80.015625 1682950622.1220
MEM 80.015625 1682950622.2227
MEM 80.015625 1682950622.3232
MEM 80.015625 1682950622.4234
MEM 80.015625 1682950622.5236
MEM 80.015625 1682950622.6240
MEM 80.015625 1682950622.7243
MEM 80.015625 1682950622.8248
MEM 80.015625 1682950622.9252
MEM 80.015625 1682950623.0258
MEM 80.015625 1682950623.1264
MEM 80.015625 1682950623.2270
MEM 80.015625 1682950623.3276
MEM 80.015625 1682950623.4282
MEM 80.015625 1682950623.5286
MEM 80.015625 1682950623.6292
MEM 80.015625 1682950623.7298
MEM 80.015625 1682950623.8303
MEM 80.015625 1682950623.9309
MEM 80.015625 1682950624.0313
MEM 80.015625 1682950624.1316
MEM 80.015625 1682950624.2320
MEM 80.015625 1682950624.3326
MEM 80.015625 1682950624.4328
MEM 80.015625 1682950624.5330
MEM 80.015625 1682950624.6334
MEM 80.015625 1682950624.7338
MEM 80.015625 1682950624.8344
MEM 80.015625 1682950624.9350
MEM 80.015625 1682950625.0353
MEM 80.015625 1682950625.1356
MEM 80.015625 1682950625.2362
MEM 80.015625 1682950625.3367
MEM 80.015625 1682950625.4372
MEM 80.015625 1682950625.5378
MEM 80.015625 1682950625.6384
MEM 80.015625 1682950625.7391
MEM 80.015625 1682950625.8393
MEM 80.015625 1682950625.9395
MEM 80.015625 1682950626.0400
MEM 80.015625 1682950626.1404
MEM 80.015625 1682950626.2406
MEM 80.015625 1682950626.3412
MEM 80.015625 1682950626.4416
MEM 80.015625 1682950626.5419
MEM 80.015625 1682950626.6425
MEM 80.015625 1682950626.7431
MEM 80.015625 1682950626.8437
MEM 80.015625 1682950626.9438
MEM 80.015625 1682950627.0440
MEM 80.015625 1682950627.1442
MEM 80.015625 1682950627.2446
MEM 80.015625 1682950627.3452
MEM 80.015625 1682950627.4458
MEM 80.015625 1682950627.5460
MEM 80.015625 1682950627.6462
MEM 80.015625 1682950627.7466
MEM 80.015625 1682950627.8472
MEM 80.015625 1682950627.9474
MEM 80.015625 1682950628.0476
MEM 80.015625 1682950628.1482
MEM 80.015625 1682950628.2488
MEM 80.015625 1682950628.3494
MEM 80.015625 1682950628.4500
MEM 80.015625 1682950628.5507
MEM 80.015625 1682950628.6511
MEM 80.015625 1682950628.7513
MEM 80.015625 1682950628.8515
MEM 80.015625 1682950628.9522
MEM 80.015625 1682950629.0525
MEM 80.015625 1682950629.1528
MEM 80.015625 1682950629.2531
MEM 80.015625 1682950629.3534
MEM 80.015625 1682950629.4537
MEM 80.015625 1682950629.5540
MEM 80.015625 1682950629.6546
MEM 80.015625 1682950629.7552
MEM 80.015625 1682950629.8558
MEM 80.015625 1682950629.9563
MEM 80.015625 1682950630.0565
MEM 80.015625 1682950630.1571
MEM 80.015625 1682950630.2573
MEM 80.015625 1682950630.3578
MEM 80.015625 1682950630.4581
MEM 80.015625 1682950630.5584
MEM 80.015625 1682950630.6588
MEM 80.015625 1682950630.7594
MEM 80.015625 1682950630.8596
MEM 80.015625 1682950630.9602
MEM 80.015625 1682950631.0608
MEM 80.015625 1682950631.1610
MEM 80.015625 1682950631.2613
MEM 80.015625 1682950631.3618
MEM 80.015625 1682950631.4621
MEM 80.015625 1682950631.5624
MEM 80.015625 1682950631.6629
MEM 80.015625 1682950631.7635
MEM 80.015625 1682950631.8643
MEM 80.015625 1682950631.9646
MEM 80.015625 1682950632.0647
MEM 80.015625 1682950632.1649
MEM 80.015625 1682950632.2652
MEM 80.015625 1682950632.3654
MEM 80.015625 1682950632.4659
MEM 80.015625 1682950632.5664
MEM 80.015625 1682950632.6666
MEM 80.015625 1682950632.7671
MEM 80.015625 1682950632.8675
MEM 80.015625 1682950632.9681
MEM 80.015625 1682950633.0686
MEM 80.015625 1682950633.1692
MEM 80.015625 1682950633.2696
MEM 80.015625 1682950633.3700
MEM 80.015625 1682950633.4704
MEM 80.015625 1682950633.5708
MEM 80.015625 1682950633.6711
MEM 80.015625 1682950633.7717
MEM 80.015625 1682950633.8720
MEM 80.015625 1682950633.9727
MEM 80.015625 1682950634.0731
MEM 80.015625 1682950634.1736
MEM 80.015625 1682950634.2742
MEM 80.015625 1682950634.3744
MEM 80.015625 1682950634.4750
MEM 80.015625 1682950634.5756
MEM 80.015625 1682950634.6760
MEM 80.015625 1682950634.7766
MEM 80.015625 1682950634.8768
MEM 80.015625 1682950634.9771
MEM 80.015625 1682950635.0774
MEM 80.015625 1682950635.1776
MEM 80.015625 1682950635.2783
MEM 80.015625 1682950635.3788
MEM 80.015625 1682950635.4794
MEM 80.015625 1682950635.5799
MEM 80.015625 1682950635.6804
MEM 80.015625 1682950635.7810
MEM 80.015625 1682950635.8816
MEM 80.015625 1682950635.9823
MEM 80.015625 1682950636.0828
MEM 80.015625 1682950636.1834
MEM 80.015625 1682950636.2836
MEM 80.015625 1682950636.3839
MEM 80.015625 1682950636.4845
MEM 80.015625 1682950636.5849
MEM 80.015625 1682950636.6852
MEM 80.015625 1682950636.7857
MEM 80.015625 1682950636.8863
MEM 80.015625 1682950636.9869
MEM 80.015625 1682950637.0874
MEM 80.015625 1682950637.1877
MEM 80.015625 1682950637.2880
MEM 80.015625 1682950637.3886
MEM 80.015625 1682950637.4888
MEM 80.015625 1682950637.5892
MEM 80.015625 1682950637.6894
MEM 80.015625 1682950637.7897
MEM 80.015625 1682950637.8899
MEM 80.015625 1682950637.9904
MEM 80.015625 1682950638.0910
MEM 80.015625 1682950638.1915
MEM 80.015625 1682950638.2919
MEM 80.015625 1682950638.3925
MEM 80.015625 1682950638.4928
MEM 80.015625 1682950638.5931
MEM 80.015625 1682950638.6937
MEM 80.015625 1682950638.7938
MEM 80.015625 1682950638.8942
MEM 80.015625 1682950638.9945
MEM 80.015625 1682950639.0951
MEM 80.015625 1682950639.1958
MEM 80.015625 1682950639.2964
MEM 80.015625 1682950639.3969
MEM 80.015625 1682950639.4974
MEM 80.042969 1682950639.5981
MEM 80.042969 1682950639.6986
MEM 80.042969 1682950639.7991
MEM 80.042969 1682950639.8994
MEM 80.042969 1682950639.9999
MEM 80.042969 1682950640.1003
MEM 80.042969 1682950640.2010
MEM 80.042969 1682950640.3012
MEM 80.042969 1682950640.4019
MEM 80.042969 1682950640.5021
MEM 80.042969 1682950640.6023
MEM 80.042969 1682950640.7026
MEM 80.042969 1682950640.8033
MEM 80.042969 1682950640.9040
MEM 80.042969 1682950641.0046
MEM 80.042969 1682950641.1048
MEM 80.042969 1682950641.2051
MEM 80.042969 1682950641.3054
MEM 80.042969 1682950641.4057
MEM 80.042969 1682950641.5063
MEM 80.042969 1682950641.6069
MEM 80.042969 1682950641.7071
MEM 80.042969 1682950641.8075
MEM 80.042969 1682950641.9081
MEM 80.042969 1682950642.0083
MEM 80.042969 1682950642.1089
MEM 80.042969 1682950642.2091
MEM 80.042969 1682950642.3095
MEM 80.042969 1682950642.4102
MEM 80.042969 1682950642.5104
MEM 80.042969 1682950642.6110
MEM 80.042969 1682950642.7114
MEM 80.042969 1682950642.8116
