CMDLINE C:\Python311\python.exe search.py
MEM 1.671875 1682945294.5461
MEM 14.640625 1682945294.6471
MEM 22.023438 1682945294.7473
MEM 26.335938 1682945294.8478
MEM 31.058594 1682945294.9483
MEM 36.964844 1682945295.0489
MEM 45.015625 1682945295.1494
MEM 50.738281 1682945295.2498
MEM 61.671875 1682945295.3504
MEM 68.117188 1682945295.4510
MEM 72.605469 1682945295.5527
MEM 75.136719 1682945295.6532
MEM 78.761719 1682945295.7534
MEM 79.843750 1682945295.8537
MEM 79.843750 1682945295.9540
MEM 79.843750 1682945296.0544
MEM 79.843750 1682945296.1548
MEM 79.843750 1682945296.2553
MEM 79.843750 1682945296.3558
MEM 79.843750 1682945296.4562
MEM 79.843750 1682945296.5569
MEM 79.843750 1682945296.6574
MEM 79.843750 1682945296.7578
MEM 79.843750 1682945296.8582
MEM 79.843750 1682945296.9588
MEM 79.843750 1682945297.0593
MEM 79.843750 1682945297.1598
MEM 79.843750 1682945297.2600
MEM 79.843750 1682945297.3605
MEM 79.843750 1682945297.4611
MEM 79.843750 1682945297.5617
MEM 79.843750 1682945297.6620
MEM 79.843750 1682945297.7623
MEM 79.843750 1682945297.8628
MEM 79.843750 1682945297.9633
MEM 79.843750 1682945298.0637
MEM 79.843750 1682945298.1639
MEM 79.843750 1682945298.2642
MEM 79.843750 1682945298.3645
MEM 79.843750 1682945298.4648
MEM 79.843750 1682945298.5652
MEM 79.843750 1682945298.6659
MEM 79.843750 1682945298.7662
MEM 79.843750 1682945298.8666
MEM 79.843750 1682945298.9673
MEM 79.843750 1682945299.0677
MEM 79.843750 1682945299.1683
MEM 79.843750 1682945299.2688
MEM 79.843750 1682945299.3693
MEM 79.843750 1682945299.4703
MEM 79.843750 1682945299.5707
MEM 79.843750 1682945299.6712
MEM 79.843750 1682945299.7718
MEM 79.843750 1682945299.8722
MEM 79.843750 1682945299.9727
MEM 79.843750 1682945300.0730
MEM 79.843750 1682945300.1733
MEM 79.843750 1682945300.2738
MEM 79.843750 1682945300.3742
MEM 79.843750 1682945300.4743
MEM 79.843750 1682945300.5748
MEM 79.843750 1682945300.6750
MEM 79.843750 1682945300.7752
MEM 79.843750 1682945300.8758
MEM 79.843750 1682945300.9764
MEM 79.843750 1682945301.0767
MEM 79.843750 1682945301.1769
MEM 79.843750 1682945301.2773
MEM 79.843750 1682945301.3775
MEM 79.843750 1682945301.4778
MEM 79.843750 1682945301.5783
MEM 79.843750 1682945301.6788
MEM 79.843750 1682945301.7794
MEM 79.843750 1682945301.8798
MEM 79.843750 1682945301.9803
MEM 79.843750 1682945302.0808
MEM 79.843750 1682945302.1813
MEM 79.843750 1682945302.2818
MEM 79.843750 1682945302.3822
MEM 79.843750 1682945302.4829
MEM 79.843750 1682945302.5833
MEM 79.843750 1682945302.6838
MEM 79.843750 1682945302.7844
MEM 79.843750 1682945302.8849
MEM 79.843750 1682945302.9854
MEM 79.843750 1682945303.0858
MEM 79.843750 1682945303.1865
MEM 79.843750 1682945303.2869
MEM 79.843750 1682945303.3875
MEM 79.843750 1682945303.4881
MEM 79.843750 1682945303.5884
MEM 79.843750 1682945303.6887
MEM 79.843750 1682945303.7889
MEM 79.843750 1682945303.8894
MEM 79.843750 1682945303.9898
MEM 79.843750 1682945304.0903
MEM 79.843750 1682945304.1907
MEM 79.843750 1682945304.2913
MEM 79.843750 1682945304.3920
MEM 79.843750 1682945304.4925
MEM 79.843750 1682945304.5928
MEM 79.843750 1682945304.6934
MEM 79.843750 1682945304.7937
