CMDLINE C:\Python311\python.exe search.py
MEM 1.671875 1682932822.7373
MEM 15.386719 1682932822.8386
MEM 22.375000 1682932822.9390
MEM 28.085938 1682932823.0392
MEM 32.625000 1682932823.1396
MEM 37.273438 1682932823.2401
MEM 44.320312 1682932823.3404
MEM 50.140625 1682932823.4408
MEM 57.640625 1682932823.5411
MEM 63.691406 1682932823.6414
MEM 71.019531 1682932823.7418
MEM 74.578125 1682932823.8421
MEM 77.976562 1682932823.9426
MEM 80.300781 1682932824.0429
MEM 80.300781 1682932824.1434
MEM 80.300781 1682932824.2436
MEM 80.300781 1682932824.3438
MEM 80.300781 1682932824.4444
MEM 80.300781 1682932824.5449
MEM 80.300781 1682932824.6451
MEM 80.300781 1682932824.7453
MEM 80.300781 1682932824.8456
MEM 80.300781 1682932824.9461
MEM 80.300781 1682932825.0464
MEM 80.300781 1682932825.1469
MEM 80.300781 1682932825.2474
MEM 80.300781 1682932825.3481
MEM 80.300781 1682932825.4486
MEM 80.300781 1682932825.5490
MEM 80.300781 1682932825.6493
MEM 80.300781 1682932825.7497
MEM 80.300781 1682932825.8503
MEM 80.300781 1682932825.9508
MEM 80.300781 1682932826.0515
MEM 80.300781 1682932826.1519
MEM 80.300781 1682932826.2526
MEM 80.300781 1682932826.3529
MEM 80.300781 1682932826.4533
MEM 80.300781 1682932826.5539
MEM 80.300781 1682932826.6541
MEM 80.300781 1682932826.7547
MEM 80.300781 1682932826.8553
MEM 80.300781 1682932826.9555
MEM 80.300781 1682932827.0561
MEM 80.300781 1682932827.1563
MEM 80.300781 1682932827.2565
MEM 80.300781 1682932827.3567
MEM 80.300781 1682932827.4570
MEM 80.300781 1682932827.5574
MEM 80.300781 1682932827.6580
MEM 80.300781 1682932827.7584
MEM 80.300781 1682932827.8587
MEM 80.300781 1682932827.9593
MEM 80.300781 1682932828.0597
MEM 80.300781 1682932828.1602
MEM 80.300781 1682932828.2607
MEM 80.300781 1682932828.3609
MEM 80.300781 1682932828.4611
MEM 80.300781 1682932828.5618
MEM 80.300781 1682932828.6625
MEM 80.300781 1682932828.7631
MEM 80.300781 1682932828.8637
MEM 80.300781 1682932828.9638
MEM 80.300781 1682932829.0644
MEM 80.300781 1682932829.1647
MEM 80.300781 1682932829.2651
MEM 80.300781 1682932829.3653
MEM 80.300781 1682932829.4658
MEM 80.300781 1682932829.5662
MEM 80.300781 1682932829.6668
MEM 80.300781 1682932829.7671
MEM 80.300781 1682932829.8677
MEM 80.300781 1682932829.9683
MEM 80.300781 1682932830.0689
MEM 80.300781 1682932830.1691
MEM 80.300781 1682932830.2693
MEM 80.300781 1682932830.3699
MEM 80.300781 1682932830.4702
MEM 80.300781 1682932830.5708
MEM 80.300781 1682932830.6713
MEM 80.300781 1682932830.7719
MEM 80.300781 1682932830.8723
MEM 80.300781 1682932830.9729
MEM 80.300781 1682932831.0732
MEM 80.300781 1682932831.1734
MEM 80.300781 1682932831.2736
MEM 80.300781 1682932831.3743
MEM 80.300781 1682932831.4749
MEM 80.300781 1682932831.5753
MEM 80.300781 1682932831.6757
MEM 80.300781 1682932831.7761
MEM 80.300781 1682932831.8763
MEM 80.300781 1682932831.9769
MEM 80.300781 1682932832.0775
MEM 80.300781 1682932832.1780
MEM 80.300781 1682932832.2787
MEM 80.300781 1682932832.3791
MEM 80.300781 1682932832.4795
MEM 80.300781 1682932832.5800
MEM 80.300781 1682932832.6802
MEM 80.300781 1682932832.7806
MEM 80.300781 1682932832.8812
MEM 80.300781 1682932832.9819
MEM 80.300781 1682932833.0824
MEM 80.300781 1682932833.1827
MEM 80.300781 1682932833.2833
MEM 80.300781 1682932833.3839
MEM 80.300781 1682932833.4844
MEM 80.300781 1682932833.5849
MEM 80.300781 1682932833.6856
MEM 80.300781 1682932833.7868
MEM 80.300781 1682932833.8872
MEM 80.300781 1682932833.9877
MEM 80.300781 1682932834.0880
MEM 80.300781 1682932834.1885
MEM 80.300781 1682932834.2892
MEM 80.300781 1682932834.3898
MEM 80.300781 1682932834.4904
MEM 80.300781 1682932834.5906
MEM 80.300781 1682932834.6910
MEM 80.300781 1682932834.7914
MEM 80.300781 1682932834.8919
MEM 80.300781 1682932834.9921
MEM 80.300781 1682932835.0927
MEM 80.300781 1682932835.1930
MEM 80.300781 1682932835.2936
MEM 80.300781 1682932835.3941
MEM 80.300781 1682932835.4947
MEM 80.300781 1682932835.5951
MEM 80.300781 1682932835.6955
MEM 80.300781 1682932835.7961
MEM 80.300781 1682932835.8968
MEM 80.300781 1682932835.9973
MEM 80.300781 1682932836.0979
MEM 80.300781 1682932836.1983
MEM 80.300781 1682932836.2984
MEM 80.300781 1682932836.3992
MEM 80.300781 1682932836.4999
MEM 80.300781 1682932836.6003
MEM 80.300781 1682932836.7009
MEM 80.300781 1682932836.8016
MEM 80.300781 1682932836.9022
MEM 80.300781 1682932837.0029
MEM 80.300781 1682932837.1032
MEM 80.300781 1682932837.2038
MEM 80.300781 1682932837.3044
MEM 80.300781 1682932837.4046
MEM 80.300781 1682932837.5052
MEM 80.300781 1682932837.6058
MEM 80.300781 1682932837.7066
MEM 80.300781 1682932837.8070
MEM 80.300781 1682932837.9074
MEM 80.300781 1682932838.0078
MEM 80.300781 1682932838.1083
MEM 80.300781 1682932838.2091
MEM 80.300781 1682932838.3096
MEM 80.300781 1682932838.4100
MEM 80.300781 1682932838.5106
MEM 80.300781 1682932838.6109
MEM 80.300781 1682932838.7113
MEM 80.300781 1682932838.8116
MEM 80.300781 1682932838.9123
MEM 80.300781 1682932839.0126
MEM 80.300781 1682932839.1129
MEM 80.300781 1682932839.2132
MEM 80.300781 1682932839.3136
MEM 80.300781 1682932839.4139
MEM 80.300781 1682932839.5145
MEM 80.300781 1682932839.6149
MEM 80.300781 1682932839.7155
MEM 80.300781 1682932839.8157
MEM 80.300781 1682932839.9162
MEM 80.300781 1682932840.0165
