CMDLINE C:\Python311\python.exe search.py
MEM 1.675781 1682944239.3937
MEM 12.128906 1682944239.4947
MEM 19.109375 1682944239.5953
MEM 24.218750 1682944239.6958
MEM 28.613281 1682944239.7963
MEM 32.710938 1682944239.8969
MEM 38.875000 1682944239.9974
MEM 46.648438 1682944240.0977
MEM 54.183594 1682944240.1982
MEM 61.660156 1682944240.2985
MEM 68.238281 1682944240.3990
MEM 71.875000 1682944240.4996
MEM 75.074219 1682944240.6003
MEM 78.726562 1682944240.7006
MEM 79.925781 1682944240.8010
MEM 79.925781 1682944240.9015
MEM 79.925781 1682944241.0022
MEM 79.925781 1682944241.1028
MEM 79.925781 1682944241.2030
MEM 79.925781 1682944241.3036
MEM 79.925781 1682944241.4041
MEM 79.925781 1682944241.5045
MEM 79.925781 1682944241.6051
MEM 79.925781 1682944241.7055
MEM 79.925781 1682944241.8060
MEM 79.925781 1682944241.9065
MEM 79.925781 1682944242.0071
MEM 79.925781 1682944242.1076
MEM 79.925781 1682944242.2080
MEM 79.925781 1682944242.3082
MEM 79.925781 1682944242.4088
MEM 79.925781 1682944242.5092
MEM 79.925781 1682944242.6098
MEM 79.925781 1682944242.7101
MEM 79.925781 1682944242.8102
MEM 79.925781 1682944242.9106
MEM 79.925781 1682944243.0110
MEM 79.925781 1682944243.1115
MEM 79.925781 1682944243.2120
MEM 79.925781 1682944243.3126
MEM 79.925781 1682944243.4131
MEM 79.925781 1682944243.5136
MEM 79.925781 1682944243.6140
MEM 79.925781 1682944243.7147
MEM 79.925781 1682944243.8150
MEM 79.925781 1682944243.9156
MEM 79.925781 1682944244.0161
MEM 79.925781 1682944244.1167
MEM 79.925781 1682944244.2172
MEM 79.925781 1682944244.3177
MEM 79.925781 1682944244.4179
MEM 79.925781 1682944244.5180
MEM 79.925781 1682944244.6188
MEM 79.925781 1682944244.7196
MEM 79.925781 1682944244.8201
MEM 79.925781 1682944244.9204
MEM 79.925781 1682944245.0210
MEM 79.925781 1682944245.1215
MEM 79.925781 1682944245.2221
MEM 79.925781 1682944245.3225
MEM 79.925781 1682944245.4231
MEM 79.925781 1682944245.5235
MEM 79.925781 1682944245.6240
MEM 79.925781 1682944245.7246
MEM 79.925781 1682944245.8251
MEM 79.925781 1682944245.9252
MEM 79.925781 1682944246.0256
MEM 79.925781 1682944246.1261
MEM 79.925781 1682944246.2266
MEM 79.925781 1682944246.3270
MEM 79.925781 1682944246.4273
MEM 79.925781 1682944246.5276
MEM 79.925781 1682944246.6279
MEM 79.925781 1682944246.7281
MEM 79.925781 1682944246.8285
MEM 79.925781 1682944246.9292
MEM 79.925781 1682944247.0296
MEM 79.925781 1682944247.1301
MEM 79.925781 1682944247.2306
MEM 79.925781 1682944247.3308
MEM 79.925781 1682944247.4310
MEM 79.925781 1682944247.5317
MEM 79.925781 1682944247.6319
MEM 79.925781 1682944247.7325
MEM 79.925781 1682944247.8327
MEM 79.925781 1682944247.9330
MEM 79.925781 1682944248.0336
MEM 79.925781 1682944248.1341
MEM 79.925781 1682944248.2346
MEM 79.925781 1682944248.3349
MEM 79.925781 1682944248.4356
MEM 79.925781 1682944248.5360
MEM 79.925781 1682944248.6365
MEM 79.925781 1682944248.7369
MEM 79.925781 1682944248.8370
MEM 79.925781 1682944248.9376
MEM 79.925781 1682944249.0381
MEM 79.925781 1682944249.1385
MEM 79.925781 1682944249.2389
MEM 79.925781 1682944249.3395
MEM 79.925781 1682944249.4397
MEM 79.925781 1682944249.5400
MEM 79.925781 1682944249.6401
MEM 79.925781 1682944249.7404
MEM 79.925781 1682944249.8410
MEM 79.925781 1682944249.9415
MEM 79.925781 1682944250.0420
MEM 79.925781 1682944250.1425
MEM 79.925781 1682944250.2429
MEM 79.925781 1682944250.3434
MEM 79.925781 1682944250.4441
MEM 79.925781 1682944250.5449
MEM 79.925781 1682944250.6455
MEM 79.925781 1682944250.7460
MEM 79.925781 1682944250.8465
MEM 79.925781 1682944250.9471
MEM 79.925781 1682944251.0475
MEM 79.925781 1682944251.1480
MEM 79.925781 1682944251.2483
MEM 79.925781 1682944251.3487
MEM 79.925781 1682944251.4490
MEM 79.925781 1682944251.5496
MEM 79.925781 1682944251.6500
MEM 79.925781 1682944251.7503
MEM 79.925781 1682944251.8510
MEM 79.925781 1682944251.9516
MEM 79.925781 1682944252.0521
MEM 79.925781 1682944252.1526
MEM 79.925781 1682944252.2530
MEM 79.925781 1682944252.3535
MEM 79.925781 1682944252.4536
MEM 79.925781 1682944252.5541
MEM 79.925781 1682944252.6546
MEM 79.925781 1682944252.7552
MEM 79.925781 1682944252.8560
MEM 79.925781 1682944252.9562
MEM 79.925781 1682944253.0565
MEM 79.925781 1682944253.1571
